in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.16,0.96,0.84,0,0.95,0,0,0,0.75,0,0,0,0.08,0.09,-0.29,0,0.9,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.6,0,0,2.9,11.94,1.45,12.96,17,Frame_00017.png
0.97,0,0,0,0.45,0.89,0.17,0,0.44,0.34,-0.26,0,0.43,0,0,0,0.49,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.8,0,0,2.28,11.73,0.85,12.16,18,Frame_00018.png
0.11,0.59,-0.19,0,0.61,0,0,0,0.65,0,0,0,0.51,0,0,0,0.09,0,-0.03,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.1,0,0,3,12,0.15,13.11,19,Frame_00019.png
0.15,0.01,-0.05,0,0.97,0,0,0,0.16,0.05,-0.34,0,0.72,0,0,0,0.59,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.9,0,0,2.5,11.98,0.25,12.96,20,Frame_00020.png
0.22,0.08,-0.25,0,0.71,0,0,0,0.63,0,0,0,0.89,0.63,0.33,0,0.21,0.38,0.02,0,0.09,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.2,0,0,3,11.87,0.1,11.34,21,Frame_00021.png
0.17,0.64,0.34,0,0.62,0,0,0,0.78,0,0,0,0.36,0.84,0.7,0,0.82,0,0,0,0.28,0.3,0.67,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.1,0,0,2.66,11.42,1.61,11.21,22,Frame_00022.png
0.15,0.76,0.98,0,0.63,0,0,0,0.14,0.17,-0.69,0,0.96,0,0,0,0.86,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.9,0,0,2.66,11.69,1.39,12.96,23,Frame_00023.png
0.17,0.72,0.06,0,0.99,0,0,0,1,0,0,0,0.88,0,0,0,0.32,0.28,-0.33,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.1,0,0,3,11.69,0.3,14.6,24,Frame_00024.png
0.21,0.01,0.06,0,0.12,0.08,-0.65,0,0.85,0,0,0,0.63,0,0,0,0.85,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.1,0,0,2.72,11.98,0.3,12.96,25,Frame_00025.png
0.63,0.93,-0.3,0,0.09,0,0,0,0.15,0.47,0.2,0,0.81,0,0,0,0.02,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,2.64,11.82,1,9.65,26,Frame_00026.png
