in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.13,0.41,-0.89,0,0.11,0.45,-0.2,0,0.75,0,0,0,0.92,0,0,0,0.51,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.9,0,0,3,11.69,1,13.71,67,Frame_00067.png
0.2,0.24,-0.49,0,0.01,0.33,-0.98,0,0.82,0,0,0,0.46,0,0,0,0.43,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.2,0,0,2.36,11.69,2.45,14.87,68,Frame_00068.png
0.21,0.4,-0.9,0,0.7,0,0,0,0.61,0,0,0,0.02,0.74,-0.22,0,0.26,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.6,0,0,3,11.69,1.1,13.93,69,Frame_00069.png
0.09,0.09,-0.83,0,0.67,0,0,0,0.07,0.56,-0.42,0,0.57,0,0,0,0.9,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.5,0,0,3,11.86,2.1,14.37,70,Frame_00070.png
0.21,0.92,-0.88,0,0.94,0,0,0,0.84,0,0,0,0.03,0.19,-0.83,0,0.98,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.7,0,0,3,11.87,4.15,12.96,71,Frame_00071.png
0.16,0.73,-0.52,0,0.67,0,0,0,0.78,0,0,0,0.42,0.7,0.64,0,0.14,0,0,0,0.4,0.36,0.44,0,0.64,0.18,-0.87,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.9,0,0,2.35,11.77,2.2,11.11,72,Frame_00072.png
0.05,0.12,-0.58,0,0.92,0,0,0,0.12,0.68,-0.96,0,0.11,0,0,0,0.45,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.6,0,0,3,11.69,2.9,15,73,Frame_00073.png
0.22,0.3,-0.81,0,0.69,0,0,0,0.87,0,0,0,0.01,0.53,0.28,0,0.07,0,0,0,0.28,0.49,-0.71,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.2,0,0,2.4,11.69,1.4,12.96,74,Frame_00074.png
0.16,0.4,-0.82,0,0.1,0.14,-0.92,0,0.86,0,0,0,0.5,0,0,0,0.56,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.6,0,0,2.87,11.96,4.1,15.58,75,Frame_00075.png
0.26,0.81,-0.89,0,0.28,0.82,-0.74,0,0.95,0,0,0,0.41,0,0,0,0.57,0,0,0,0.38,0.5,0.37,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.4,0,0,3,11.54,1.85,11.43,76,Frame_00076.png
0.62,0.89,-0.26,0,0.61,0,0,0,0.3,0,0,0,0.09,0.83,-0.95,0,0.71,0.21,-0.86,0,0.62,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.4,0,0,2.06,11.73,1.3,18.5,77,Frame_00077.png
0.04,0.42,-0.72,0,0.7,0,0,0,0.64,0,0,0,0.89,0,0,0,0.99,0,0,0,0.26,0.95,-0.76,-0.46,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.1,0,0,2.85,11.69,2.3,12.96,78,Frame_00078.png
0.95,0,0,0,0.56,0.99,0.9,0,0.36,0.94,0.81,0,0.06,0,0,0,0.62,0.01,-0.89,0,0.23,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.6,0,0,2.85,11.98,2.55,14.6,79,Frame_00079.png
0.96,0,0,0,0.49,0.72,-0.89,0,0.2,0.77,-0.98,0,0.81,0.23,-0.86,0,0.82,0,0,0,0.21,0.8,-0.06,0,0.59,0.79,-0.7,0,0.48,0.58,-0.27,0,0.29,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.7,0,0,2.09,11.67,0.3,16.94,80,Frame_00080.png
0.12,0.09,0.19,0,0.69,0,0,0,0.23,0.41,-0.01,0,0.15,0,0,0,0.12,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.4,1,0,3,11.86,0.05,12.96,81,Frame_00081.png
0.54,0.93,-0.31,0,0.66,0,0,0,0.37,0.05,0.2,0,0.86,0,0,0,0.69,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.2,1,0,2.51,11.86,1,9.65,82,Frame_00082.png
0.09,0.29,-0.21,0,0.69,0,0,0,0.61,0,0,0,0.29,0.08,-0.13,0,0.58,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.3,1,0,2.79,11.69,0.65,12.96,83,Frame_00083.png
0.29,0.46,-0.37,0,0.65,0,0,0,0.51,0.74,0.36,0,0.01,0,0,0,0.6,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.5,1,0,3,11.75,1.8,9.65,84,Frame_00084.png
0.09,0.3,0.22,0,0.66,0,0,0,0.88,0,0,0,0.03,0.15,-0.43,0,0.74,0.02,-0.25,0.49,0.52,0,0,0,0.87,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.7,1,0,2.42,12,1.1,14.14,85,Frame_00085.png
0.95,0,0,0,0.36,0.46,0.78,0,0.36,0,0,0,0.88,0.15,-0.95,0,0.1,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.6,1,0,2.17,11.69,1.62,12.96,86,Frame_00086.png
0.97,0,0,0,0.23,0.31,0.72,0,0.49,0,0,0,0.26,0,0,0,0.39,0.01,-0.97,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.6,1,0,2.1,11.69,1.79,12.96,87,Frame_00087.png
1,0,0,0,0.41,0.86,0.01,0,0.41,0,0,0,0.58,0,0,0,0.02,0.72,0.23,0,0.41,0.3,0.24,0,0.67,0.01,0.79,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.5,1,0,2.1,11.65,0.05,12.92,88,Frame_00088.png
0.59,0.74,-0.22,0,0.35,0,0,0,0.34,0.96,0.11,0,0.03,0,0,0,0.47,0.73,-0.33,0,0.43,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.6,1,0,2.11,11.6,0.55,9.65,89,Frame_00089.png
0.15,0.55,-0.05,0,0.31,0.83,-0.56,0,0.64,0,0,0,0.59,0,0,0,0.28,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.7,1,0,3,11.69,0.25,12.96,90,Frame_00090.png
0.17,0.44,0.17,0,0.31,0.98,-0.63,0,0.88,0,0,0,0.53,0,0,0,0.85,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.1,1,0,2.18,11.69,0.85,12.96,91,Frame_00091.png
0.99,0,0,0,0.04,0.29,-0.2,0,0.3,0.38,-0.74,0,0.02,0,0,0,0.15,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651.7,1,0,3,11.69,1,12.96,92,Frame_00092.png
0.54,0.12,-0.56,0,1,0,0,0,0.59,0,0,0,0.14,0,0,0,0.67,0.13,0.22,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.4,1,0,2.56,11.98,1.1,10,93,Frame_00093.png
0.63,0.45,-0.55,0,0.63,0,0,0,0.63,0,0,0,0.93,0.63,0.85,0,0.18,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.8,1,0,3,11.91,2.75,11.2,94,Frame_00094.png
0.21,0.6,0.69,0,0.29,0,0,0,0.56,0,0,0,0.68,0.79,-0.86,0,0.66,0,0,0,0.81,0.12,0.4,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.7,1,0,2.39,11.85,1.92,12.96,95,Frame_00095.png
0.19,0.58,0.86,0,1,0,0,0,0.12,0.85,-0.7,0,0.39,0.71,0.55,0,0,0,0,0,0.86,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1,0,2.26,11.32,1.45,10.26,96,Frame_00096.png
0.57,0.54,-0.76,0,0.99,0,0,0,0.51,0,0,0,0.34,0,0,0,0.55,0.89,0.24,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,1,0,3.06,11.98,1.2,10,97,Frame_00097.png
0.15,0.17,0.57,0,0.35,0.29,-0.44,0,0.67,0,0,0,0.4,0,0,0,0.31,0.69,0.12,0,0.24,0.1,-0.68,0,0.22,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.6,1,0,2.26,11.87,0.6,16.17,98,Frame_00098.png
0.83,0.33,-0.12,0,0.83,0,0,0,0.15,0.4,-0.94,0,0.3,0.01,-0.08,0,0.02,0,0,0,0.06,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.2,1,0,2.1,11.37,0.4,13.18,99,Frame_00099.png
0.02,0.55,0.58,0,0.69,0,0,0,0.09,0,0,0,0.42,0.68,0.38,0,0.36,0,0,0,1,0.22,-0.78,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.3,1,0,3,11.89,0.98,11.13,100,Frame_00100.png
0.5,0.9,-0.01,0,0.66,0,0,0,0.9,0,0,0,0.29,0,0,0,0.39,0.22,0.41,0,0.97,0.95,-0.99,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.5,1,0,3,11.78,0.05,13.01,101,Frame_00101.png
0.19,0.93,-0.77,0,0.61,0,0,0,0.01,0.31,-0.72,0,0.09,0,0,0,0.82,0.13,-0.1,0,0.79,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1,0,2.83,11.89,0.5,15.56,102,Frame_00102.png
0.04,0.68,-0.64,0,0.68,0,0,0,0.03,0.48,-0.26,0,0.95,0.93,-0.29,0,0.54,0.82,0.76,0,0.56,0,0,0,0.9,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.7,1,0,2.42,11.3,1.3,11.48,103,Frame_00103.png
0.35,0.8,-0.76,0,0.64,0,0,0,0.77,0,0,0,0.88,0.96,-0.14,0,0.45,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.9,1,0,3,11.71,0.7,10.32,104,Frame_00104.png
0.95,0,0,0,0.18,0.36,-0.78,0,0.31,0.06,-0.5,0,0.02,0,0,0,0.87,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.7,1,0,2.6,11.69,2.5,12.96,105,Frame_00105.png
0.02,0.34,-0.2,0,0.77,0,0,0,0.71,0,0,0,0.38,0.35,-0.7,0,0.69,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.4,1,0,3,11.69,1,14.61,106,Frame_00106.png
0.48,0.63,-0.78,0,0.97,0,0,0,0.59,0,0,0,0.67,0,0,0,1,0.79,-0.23,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,1,0,3,11.64,1.15,10.7,107,Frame_00107.png
0.98,0,0,0,0.14,0.22,0.13,0,0.53,0,0,0,0.62,0,0,0,0.43,0.79,0.95,0,0.49,0.67,0.07,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716.4,1,0,2.25,11.69,0.35,12.96,108,Frame_00108.png
0.97,0,0,0,0.73,0.34,-0.73,0,0.98,0,0,0,0.86,0,0,0,0.83,0.91,0.74,0,0.08,0.3,0.32,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,1,0,3,11.7,1.6,10,109,Frame_00109.png
0.95,0,0,0,0.29,0.25,0.32,0,0.99,0,0,0,0.01,0.75,0.73,0,0.04,0,0,0,0.68,0.97,0.29,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719.6,1,0,2.31,11.7,1.45,13.19,110,Frame_00110.png
0.99,0,0,0,0.94,0,0,0,0.53,0.59,0.26,0,0.51,0.79,-0.59,0,0.95,0,0,0,0.99,0.28,-0.29,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.8,1,0,2.5,11.69,1.3,12.96,111,Frame_00111.png
0.2,0.45,-0.82,0,0.67,0,0,0,0.23,0.56,-0.91,0,0.05,0,0,0,0.09,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.9,1,0,2.15,11.69,4.1,12.96,112,Frame_00112.png
0.5,0.11,-0.97,0,0.61,0,0,0,0.17,0.75,-0.18,0,0.73,0.22,0.64,0,0.57,0,0,0,0.78,0,0,0,0.03,0.66,-0.6,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.7,1,0,2.04,11.96,0.9,11.74,113,Frame_00113.png
0.22,0.55,-0.83,0,0.34,0.63,0.12,0,0.68,0,0,0,0.02,0.53,-0.23,0,0.05,0,0,0,0.37,0,0,0,0.77,0.11,-0.44,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.8,1,0,2.57,11.27,0.6,16.19,114,Frame_00114.png
0.09,0.4,-0.18,0,0.94,0,0,0,0.82,0,0,0,0.11,0.89,-0.36,0,0.52,0,0,0,0.51,0.78,-0.31,0,0.23,0.27,-0.87,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.4,1,0,2.67,11.37,0.9,10.92,115,Frame_00115.png
0.97,0,0,0,0.52,0.99,0.15,0,0.23,0.79,-0.77,0,0.93,0,0,0,0.61,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.3,1,0,3,11.97,0.75,12.25,116,Frame_00116.png
0.21,0.96,0,0,0.68,0,0,0,0.08,0.87,-0.37,0,0.11,0,0,0,0.77,0.72,-0.39,0,0.45,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740.5,1,0,3,11.94,1.85,14.8,117,Frame_00117.png
0.67,0.2,-0.93,0,0.49,0.07,0.72,0,0.34,0,0,0,0.44,0,0,0,0.56,0,0,0,0.97,0,0,0,0.5,0.02,-0.42,-0.52,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745.1,1,0,2.93,11.93,2.1,10.47,118,Frame_00118.png
0.35,0.82,-0.43,0,0.45,0,0,0,0.11,0.59,-0.67,0,0.01,0,0,0,0.23,0,0,0,0.23,0.14,-0.99,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.7,1,0,2.88,11.9,2.15,14.41,119,Frame_00119.png
0.2,0.45,0.04,0,0.64,0,0,0,0.66,0,0,0,0.54,0,0,0,0.25,0.9,-0.22,0,0.8,0.38,-0.34,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757.3,1,0,2.11,11.69,0.2,15.18,120,Frame_00120.png
0.49,0.44,-0.61,0,0.97,0,0,0,0.53,0,0,0,0.28,0,0,0,0.67,0.2,-0.82,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.6,1,0,3.21,11.97,3.05,13.68,121,Frame_00121.png
0.39,0.8,-0.07,0,0.71,0.54,-0.91,0,0.56,0.4,0.54,0,0.42,0,0,0,0.19,0.89,-0.04,0,0.07,0.03,-0.99,0,0.72,0,0,0,0.07,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1,0,2.07,11.51,0.2,14.16,122,Frame_00122.png
0.5,0.96,-0.32,0,0.61,0,0,0,0.74,0.07,-0.59,0,0.99,0,0,0,0.74,0,0,0,0.72,0.88,0.79,0,0.09,0.3,0.8,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,1,0,2.7,11.9,1.6,10,123,Frame_00123.png
0.99,0,0,0,0.32,0.86,-0.69,0,0.5,0,0,0,0.13,0.07,0.29,0,0.93,0.75,-0.96,0,0.42,0.73,-0.78,0,0.41,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772.2,1,0,2.63,11.77,1.45,14.74,124,Frame_00124.png
0.25,0.55,-0.6,0,0.54,0,0,0,0.13,0,0,0,0.13,0,0,0,0.76,0.66,-0.27,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.4,1,0,3,11.74,1.35,15.72,125,Frame_00125.png
0.04,0.64,0.85,0,0.7,0,0,0,0.67,0,0,0,0.64,0.25,-0.62,0,0.15,0.08,-0.43,0,0.93,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,1,0,3,11.87,2.15,12.96,126,Frame_00126.png
0.67,0.04,-0.68,0,0.96,0,0,0,0.69,0,0,0,0.33,0,0,0,0.53,0.08,-0.98,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789.7,1,0,2.19,11.99,3.4,14.47,127,Frame_00127.png
0.98,0,0,0,0.95,0,0,0,0.25,0.78,-0.13,0,0.95,0,0,0,0.29,0.97,-0.97,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.9,1,0,3,11.96,0.65,17.47,128,Frame_00128.png
0.97,0,0,0,0.07,0.13,0.03,0,0.29,0.39,-0.14,0,0.02,0,0,0,0.54,0.17,-0.25,0,0.81,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.3,2,0,3,11.69,0.15,12.96,129,Frame_00129.png
0.38,0.86,-0.26,0,0.45,0.75,-0.13,0,0.37,0,0,0,0.56,0,0,0,0.08,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.4,2,0,3,11.65,0.65,9.65,130,Frame_00130.png
0.56,0.74,0.15,0,0.58,0.64,0.43,0,0.96,0.3,-0.66,0,0.07,0,0,0,0.07,0,0,0,0.66,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.3,2,0,2.81,11.38,0.75,12.27,131,Frame_00131.png
0.98,0,0,0,0.14,0.27,0.64,0,0.42,0,0,0,0.5,0,0,0,0.53,0.51,-0.29,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,2,0,3,11.69,1.45,12.96,132,Frame_00132.png
0.18,0.48,0.4,0,0.72,0,0,0,0.69,0,0,0,0.09,0.84,-0.55,0,0.34,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.2,2,0,2.38,11.69,2,12.96,133,Frame_00133.png
0.21,0.32,0.9,0,0.62,0,0,0,0.32,0,0,0,0.92,0,0,0,0.73,1,-0.58,0,0.26,0.34,0.33,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640.4,2,0,3,12,1.34,9.65,134,Frame_00134.png
0.99,0,0,0,0.27,0.67,0.65,0,0.41,0,0,0,0.02,0.35,-0.84,0,0.99,0,0,0,0.5,0.58,0.58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.7,2,0,2.28,11.69,0.88,12.97,135,Frame_00135.png
0.43,0.88,0,0,0.63,0,0,0,0.42,0.98,0.94,0,0.21,0.52,0.73,0,0.32,0,0,0,0.67,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.5,2,0,2.44,11.92,3.65,9.65,136,Frame_00136.png
0.17,0.27,0.78,0,0.94,0,0,0,0.35,0.86,-0.92,0,0.55,0,0,0,0.81,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.7,2,0,2.07,11.69,1.59,12.96,137,Frame_00137.png
0.57,0.89,0.15,0,0.62,0,0,0,0.78,0.56,-0.09,0,0.66,0.04,-0.39,0,0.3,0,0,0,0.92,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.4,2,0,3,11.91,0.45,12.61,138,Frame_00138.png
0.04,0.12,-0.41,0,0.66,0,0,0,0.62,0,0,0,0.43,0.1,-0.19,0.78,0.7,0.36,0.54,0,0.54,0,0,0,0.33,0,0,0,0.6,0.45,-0.27,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.1,2,0,2,12,0.95,13.05,139,Frame_00139.png
0.97,0,0,0,0.32,0.06,-0.41,0,0.98,0,0,0,0.85,0.84,0.09,0,0.25,0.21,0.61,0,0.02,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.1,2,0,3,11.91,0.45,12.61,140,Frame_00140.png
0.61,0.9,0.13,0,0.67,0,0,0,0.9,0,0,0,0.02,0.87,-0.39,0,0.42,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.1,2,0,3,11.75,0.65,12.35,141,Frame_00141.png
0.59,0.2,-0.25,0,0.33,0,0,0,0.48,0,0,0,0.01,0.85,0.02,0,0.96,0,0,0,0.73,0.21,0.29,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676.9,2,0,2.93,11.19,0.1,12.7,142,Frame_00142.png
0.97,0,0,0,0.23,0.57,0.82,0,0.35,0,0,0,0.42,0,0,0,0.84,0.69,0.21,0,0.13,0.92,-0.66,0,0.36,0.92,-0.95,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680.4,2,0,2.08,11.3,1.05,12.92,143,Frame_00143.png
0.14,0.68,0.57,0,0.24,0.01,-0.73,0,0.75,0,0,0,0.5,0,0,0,0.65,0.6,-0.49,0,0.92,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.9,2,0,2.1,11.69,2.39,12.96,144,Frame_00144.png
0.2,0.89,0.45,0,0.66,0,0,0,0.37,0.25,-0.6,0,0.58,0,0,0,0.74,0,0,0,0.2,0.66,0.45,0,0.82,0.66,-0.02,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.3,2,0,2.61,11.84,0.1,9.65,145,Frame_00145.png
0.48,0.94,-0.02,0,0.25,0,0,0,0.45,0,0,0,0.83,0,0,0,0.51,0.11,0.05,0,0.01,0.05,-0.93,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.4,2,0,3,11.87,0.1,13.06,146,Frame_00146.png
0.23,0.99,-0.08,0,0.99,0,0,0,0.93,0,0,0,0.72,0,0,0,0.91,0,0,0,0.6,0.04,-0.54,0.31,0.17,0.93,-0.69,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.3,2,0,2.67,12,0.4,13.76,147,Frame_00147.png
0.19,0.67,0.63,0,0.72,0,0,0,0.24,0,0,0,0.15,0,0,0,0.95,0.86,0.41,0,0.02,0.42,-0.35,0,0.65,0.55,-0.68,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690.9,2,0,2.61,11.69,1.75,12.96,148,Frame_00148.png
