in:fs_0,in:fs_1,in:fs_2,in:fs_3,in:fs_4,in:fs_5,in:fs_6,in:fs_7,in:fs_8,in:fs_9,in:fs_10,in:fs_11,in:fs_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.01,0.99,0.79,0.11,0.92,0.35,0.77,0.08,0.08,0,0,0,0,1111.8,2,0,2.88,11.64,1.85,21.15,178,Frame_00178.png
0.12,0.64,0.76,0.52,0.76,0.64,0.89,0,0,0,0,0,0,581.9,3,0,3,11.69,1.2,12.96,179,Frame_00179.png
0.14,0.21,0.28,0.5,0.33,0.71,0.56,0,0,0,0,0,0,607.8,3,0,2.5,11.92,0.45,10.16,180,Frame_00180.png
0.57,0.19,0.45,0.68,0.79,0.9,0.45,0.44,0,0,0,0,0,656.3,3,0,3,11.61,1.5,9.65,181,Frame_00181.png
0.22,0.65,0.61,0.75,0.32,0.93,0.32,0,0,0,0,0,0,662,3,0,3,11.69,1.47,13.07,182,Frame_00182.png
0.23,0.33,0.08,0.08,0.18,0.8,0.5,0.47,0.6,0,0,0,0,662.5,3,0,3,11.95,0.05,12.96,183,Frame_00183.png
0.55,0.57,0.3,0.97,0.42,0.7,0,0.77,0.43,0,0,0,0,663.1,3,0,2.43,11.87,0.25,12.73,184,Frame_00184.png
0.48,0.65,0.83,0.09,0.22,0.08,0.69,0.83,0,0,0,0,0,672.6,3,0,2.93,10.99,0.55,12.47,185,Frame_00185.png
0.6,0.35,0.17,0.91,0.99,0.86,0.98,0.1,0,0,0,0,0,676.3,3,0,2.77,11.65,1.15,8.56,186,Frame_00186.png
0.61,0.62,0.49,0.86,0.2,0.73,0.12,0.74,0.98,0,0,0,0,702.5,3,0,2.33,11.97,0.2,10.68,187,Frame_00187.png
0.95,0.51,0.84,0.91,0.1,0.89,0.46,0.97,0,0,0,0,0,711,3,0,2.08,11.55,0.15,9.81,188,Frame_00188.png
0.99,0.96,0.18,0.45,0.72,0.39,0.39,0,0,0,0,0,0,718.2,3,0,2.44,11.99,1.32,12.96,189,Frame_00189.png
0,0.7,0.64,0.05,0.91,0.42,0.11,0,0,0,0,0,0,720,3,0,2.99,11.69,1.2,16.62,190,Frame_00190.png
0.96,0.6,0.49,0.95,0.8,0.89,0.06,0.39,0,0,0,0,0,722.1,3,0,3,11.83,0.45,14.17,191,Frame_00191.png
0.98,0.55,0.09,0.47,0.85,0.73,0.12,0.95,0.77,0,0,0,0,722.2,3,0,2.28,11.99,1.2,10.5,192,Frame_00192.png
0.97,0.14,0.4,0.91,0.42,0.79,0.94,0,0,0,0,0,0,725.4,3,0,2.79,11.7,1.1,14.29,193,Frame_00193.png
0.95,0.49,0.95,0.75,0.79,0.46,0.4,0,0,0,0,0,0,732.9,3,0,2.56,11.05,0.4,10,194,Frame_00194.png
0.64,0.66,0.17,0.16,0.23,0.19,0.52,0.01,0.54,0,0,0,0,736.1,3,0,2.35,12,0.1,12.08,195,Frame_00195.png
0.99,0.73,0.47,0.57,0.98,0.76,0.07,0.46,0.92,0,0,0,0,737.3,3,0,2.89,11.81,0.9,10.46,196,Frame_00196.png
0.85,0.1,0.55,0.7,0.58,0.49,0.64,0,0,0,0,0,0,748.2,3,0,3.58,11.43,0.25,12.96,197,Frame_00197.png
0.59,0.2,0.84,0.47,0.32,0.17,0.91,0.39,0,0,0,0,0,758.7,3,0,2.11,11.87,2.1,12.06,198,Frame_00198.png
0.18,0.66,0.77,0.38,0.03,0.27,0.95,0,0,0,0,0,0,758.8,3,0,3,11.69,1.65,12.96,199,Frame_00199.png
0.54,0.66,0.41,0.41,0.89,0.98,0.39,0.68,0.65,0,0,0,0,760.5,3,0,3,11.99,1.15,10.58,200,Frame_00200.png
0.41,0.73,0.94,0.78,0.42,0.09,0.07,0.5,0.58,0,0,0,0,760.6,3,0,3.09,11.92,0.25,11.42,201,Frame_00201.png
0.65,0.81,0.08,0.07,0.05,0.02,0.69,0.31,0,0,0,0,0,768.7,3,0,2.16,11.97,0.45,14.28,202,Frame_00202.png
0.51,0.66,0.5,0.04,0.07,0.3,0.96,0.85,0.17,0,0,0,0,777.3,3,0,3,11.86,0.6,15.26,203,Frame_00203.png
0.48,0.03,0.12,0.23,0.25,0.88,0.34,0.01,0,0,0,0,0,780.6,3,0,2.04,11.69,1.65,15.08,204,Frame_00204.png
0.04,0.14,0.05,0.29,1,0.68,0.04,0.61,0,0,0,0,0,782.4,3,0,2.45,11.92,1.6,12.87,205,Frame_00205.png
1,0.24,0.13,0.33,0.01,0.63,0.73,0,0,0,0,0,0,784.5,3,0,3,11.85,2.13,12.04,206,Frame_00206.png
0.95,0.35,0.86,0.81,0.03,0.54,0.9,0,0,0,0,0,0,785,3,0,2.85,11.27,1.7,13.75,207,Frame_00207.png
0.39,0.51,0.35,0.11,0.86,0.97,0.22,0.14,0.87,0,0,0,0,792.5,3,0,2.91,11.85,0.25,11.37,208,Frame_00208.png
0.56,0.19,0.85,0.99,0.06,0.94,0.88,0,0,0,0,0,0,795.1,3,0,2.23,10.99,1.5,13.95,209,Frame_00209.png
0.76,0.98,0.9,0.83,0.53,0.23,0.77,0.1,0,0,0,0,0,800.2,3,0,3.07,12,0.8,14.2,210,Frame_00210.png
0.29,0.11,0.95,0.99,0.02,0.97,0.96,0.58,0,0,0,0,0,801.2,3,0,2.26,11.48,1.95,12.98,211,Frame_00211.png
0.18,1,0.22,0.71,0.58,0.79,0.46,0,0,0,0,0,0,804.5,3,0,3.04,11.75,0.05,14.08,212,Frame_00212.png
0.62,0.63,0.69,0.71,0.39,0.78,0.47,0.6,0,0,0,0,0,804.7,3,0,2.46,12,0.15,14,213,Frame_00213.png
0.11,0.28,0.35,0.47,0.54,0.25,0.27,0,0,0,0,0,0,823.7,3,0,2.28,11.94,0.55,13.49,214,Frame_00214.png
0.13,0.5,0.39,0.93,0.14,0.77,0.01,0,0,0,0,0,0,833.8,3,0,3,11.73,0.7,15.42,215,Frame_00215.png
0.54,0.65,0.13,0.42,0.95,0.94,0.78,0.35,0,0,0,0,0,834.5,3,0,3,11.8,0.85,18.8,216,Frame_00216.png
0.97,0.92,0.8,0.89,0.01,0.4,0.08,0.31,0.26,0,0,0,0,838.9,3,0,3,12,0.85,14.35,217,Frame_00217.png
0.97,0.65,0.18,0.2,0.04,0.51,0.83,0.57,0.19,0,0,0,0,848.1,3,0,3,11.44,0.55,12.5,218,Frame_00218.png
0.57,0.66,0.71,0.41,0.05,0.11,0.43,0.45,0,0,0,0,0,852.4,3,0,2.07,11.7,1.55,14.56,219,Frame_00219.png
0.67,0.63,0.41,0.14,0.38,0.87,0.49,0.37,0,0,0,0,0,855.6,3,0,2.27,11.81,1.55,13.27,220,Frame_00220.png
0.59,0.73,0.54,0.17,0.06,0.71,0.93,0.98,0.98,0,0,0,0,860.2,3,0,2.34,11.74,1.65,12.98,221,Frame_00221.png
1,0.35,0.12,0.99,0.79,0.07,0.88,0.02,0.4,0,0,0,0,864.2,3,0,2.38,11.82,2,12.13,222,Frame_00222.png
0.97,0.12,0.47,0.54,0.85,0.28,0.91,0,0,0,0,0,0,929.5,3,0,3,11.94,1.35,14.93,223,Frame_00223.png
0.99,0.93,0.16,0.63,0.82,0.35,0.36,0.35,0,0,0,0,0,931.8,3,0,3,11.94,1.73,17.76,224,Frame_00224.png
0.47,0.05,0.03,0.68,0.39,0.37,0.39,0.4,0,0,0,0,0,933.2,3,0,2.13,11.88,2.65,22.46,225,Frame_00225.png
0.21,0.18,0.25,0.03,0.63,0.89,0.69,0,0,0,0,0,0,945.7,3,0,3,11.75,0.5,20.11,226,Frame_00226.png
0.41,0.53,0,0.03,0.32,0.47,0.99,0.29,0.7,0,0,0,0,945.8,3,0,3,12,0.65,14.01,227,Frame_00227.png
0.61,0.53,0.25,0.42,0.08,0.72,0.08,0.03,0,0,0,0,0,968.2,3,0,2.26,11.97,2.95,16.22,228,Frame_00228.png
0.97,0.56,0.09,0.4,0.47,0.81,0.3,0.24,0.23,0.47,0,0,0,971,3,0,2.54,11.87,0.9,18.42,229,Frame_00229.png
0.34,0.67,0.84,0.03,0.29,0.08,0.89,0.57,0.39,0,0,0,0,981.2,3,0,3,11.76,1.05,17.51,230,Frame_00230.png
0.83,0.48,0.96,0.67,0.71,0.94,0,0.38,0,0,0,0,0,1018.5,3,0,2.19,11.87,1.9,13.3,231,Frame_00231.png
0.95,0.81,0.87,0.72,0.02,0.95,0.27,0.4,0.32,0.22,0,0,0,1263.3,3,0,2.88,11.93,0.15,17.48,232,Frame_00232.png
0.18,0.72,0.74,0.8,0.23,0.42,0.68,0,0,0,0,0,0,596.7,4,0,2.66,12,0.15,9.78,233,Frame_00233.png
0.09,0.67,0.91,0.6,0.95,0.47,0.8,0,0,0,0,0,0,597.8,4,0,2.52,12,0.55,12.96,234,Frame_00234.png
0.11,0.32,0.41,0.23,0.9,0.43,0.47,0,0,0,0,0,0,613.5,4,0,2.55,11.94,1.42,9.66,235,Frame_00235.png
0.13,0.67,0.28,0.41,0.25,0.48,0.26,0,0,0,0,0,0,618.1,4,0,3,11.66,1.75,9.65,236,Frame_00236.png
0.32,0.65,0.09,0.71,0.9,0.64,0.38,0.37,0,0,0,0,0,619.2,4,0,2.97,11.93,0.3,9.65,237,Frame_00237.png
0.1,0.69,0.37,0.29,0.11,0.72,0.68,0.42,0,0,0,0,0,620.8,4,0,3,11.76,0.85,8.56,238,Frame_00238.png
0.18,0.04,0.81,0.56,0.86,0.3,0.83,0.95,0.75,0.45,0,0,0,670.5,4,0,2.94,11.73,0.65,9.65,239,Frame_00239.png
0.96,0.04,0.65,0.26,0.51,0.11,0.36,0.5,0,0,0,0,0,686.7,4,0,2.29,11.51,0.25,9.96,240,Frame_00240.png
0.81,0.77,0.38,0.06,0.92,0,0.74,0.3,0,0,0,0,0,711.3,4,0,2.01,11.9,1.15,10.33,241,Frame_00241.png
0.64,0,0.03,0.56,0.71,0.48,0.46,0.03,0.27,0,0,0,0,711.7,4,0,2.68,11.65,0.15,9.65,242,Frame_00242.png
0.96,0.99,0.23,0.54,0.05,0.62,0.26,0,0,0,0,0,0,711.9,4,0,2.38,11.69,0.05,12.96,243,Frame_00243.png
0.17,0.7,0.83,0.13,0.6,0.69,0.17,0.8,0.04,0,0,0,0,715.8,4,0,2.57,11.94,0.7,12.23,244,Frame_00244.png
0.95,0.8,0.62,0.12,0.96,0.84,0.55,0.87,0.22,0,0,0,0,723.6,4,0,2.43,11.85,0.2,8.76,245,Frame_00245.png
0.14,0.65,0.65,0.23,0.88,0.08,0.76,0,0,0,0,0,0,724.9,4,0,2.49,11.9,0.5,12.96,246,Frame_00246.png
0.25,0.67,0.07,0.64,0.13,0.74,0.5,0.29,0.56,0,0,0,0,731.4,4,0,3,11.73,0.2,10.52,247,Frame_00247.png
1,1,0.75,0.7,0.1,0.49,0.14,0,0,0,0,0,0,740,4,0,3,11.74,0.1,12.86,248,Frame_00248.png
0.64,0.56,0.14,0.96,0.04,0.32,0.15,0.79,0.25,0,0,0,0,741.6,4,0,2.87,11.96,1.13,10.73,249,Frame_00249.png
0.23,0.66,0.83,0.88,0.13,0.87,0.23,0.36,0,0,0,0,0,742,4,0,3,11.98,0.52,11.2,250,Frame_00250.png
0.98,0.32,0.29,0.44,0.03,0.55,0.8,0.36,0,0,0,0,0,743.2,4,0,2.19,11.92,1.77,11.71,251,Frame_00251.png
0.31,0.64,0.05,0.62,0.45,0.55,0.39,0.08,0,0,0,0,0,750.1,4,0,3,11.57,0.55,11.45,252,Frame_00252.png
0.17,0.61,0.09,0.56,0.39,0.98,0.37,0.71,0,0,0,0,0,754.2,4,0,2.39,12,0.15,14.3,253,Frame_00253.png
0.03,0.11,0.99,0.23,0.3,0.08,0.4,0.67,0,0,0,0,0,762.9,4,0,2.86,11.15,0.6,13.93,254,Frame_00254.png
0.02,0.22,0.92,0.44,0.71,0.93,0.4,0,0,0,0,0,0,767.3,4,0,2.62,11.69,2.42,12.96,255,Frame_00255.png
0.24,0.53,0.7,0.53,0.18,0.34,0.09,0.43,0.69,0.47,0,0,0,771.4,4,0,2.62,11.76,0.15,12.07,256,Frame_00256.png
0.87,0.26,0.46,0.26,0.95,0.13,0.42,0.92,0,0,0,0,0,772.5,4,0,2.08,11.99,0.8,13.25,257,Frame_00257.png
0.99,0.34,0.86,0.29,0.79,0.08,0.95,0.69,0,0,0,0,0,787,4,0,3,11.62,0.1,14.46,258,Frame_00258.png
0.92,0.19,0.99,0.85,0.16,0.53,0.35,0.31,0,0,0,0,0,787.1,4,0,2.62,11.44,0.2,11.82,259,Frame_00259.png
0.55,0.42,0.02,0.01,0.72,0.3,0.55,0,0,0,0,0,0,787.2,4,0,3,11.71,0.35,13.42,260,Frame_00260.png
0.65,0.96,0.67,0.64,0.65,0.33,0.36,0.87,0,0,0,0,0,792.3,4,0,3,11.7,1.6,9.65,261,Frame_00261.png
0.49,0.97,0.69,0.38,0.62,0.1,0.62,0,0,0,0,0,0,799.1,4,0,4.47,11.93,2.65,10,262,Frame_00262.png
0.58,0.54,0.35,0.5,0.17,0.41,0.73,0,0,0,0,0,0,801,4,0,3,11.62,0.6,11.1,263,Frame_00263.png
0.15,0.64,0.33,0.02,0.95,0.55,0.36,0,0,0,0,0,0,803.8,4,0,2.58,11.91,0.3,13.33,264,Frame_00264.png
0.97,0.28,0.99,0.76,0.77,0.5,0.14,0,0,0,0,0,0,806.2,4,0,3,11.88,0.6,15.94,265,Frame_00265.png
0.02,0.54,0.37,0.11,0.13,0.83,0.03,0.12,0.11,0,0,0,0,821.4,4,0,2.15,11.38,0.4,15.01,266,Frame_00266.png
0.19,0.61,0.83,0.56,0.17,0.79,0.92,0.76,0.87,0,0,0,0,829,4,0,3,12,0.9,14.82,267,Frame_00267.png
0.11,0.3,0.91,0.48,0.42,0.59,0.76,0.55,0.06,0,0,0,0,837.3,4,0,2.71,11.72,1.41,14.71,268,Frame_00268.png
0.98,0.63,0.42,0.87,0.13,0.18,0.6,0.79,0.71,0,0,0,0,849.7,4,0,3,11.98,0.55,11.52,269,Frame_00269.png
0.01,0.88,0.82,0.34,0.1,0.62,0.97,0.47,0.07,0,0,0,0,857.5,4,0,2.47,11.69,0.35,13.74,270,Frame_00270.png
0.33,0.61,0.32,0.75,0.79,0.24,0.95,0.19,0.78,0,0,0,0,860.7,4,0,3,11.81,0.7,16.63,271,Frame_00271.png
0.96,0.65,0.86,0.51,0.95,0.65,0.33,0,0,0,0,0,0,863.1,4,0,2.43,11.48,2,17.24,272,Frame_00272.png
0.99,0.72,0.1,0.32,0.32,0.73,0.82,0.16,0,0,0,0,0,873.3,4,0,2.33,11.9,0.8,13.6,273,Frame_00273.png
0.99,0.33,0.44,0.75,0.05,0.8,0.97,0.09,0.22,0,0,0,0,887,4,0,3,12,0.15,12.47,274,Frame_00274.png
0.34,0.71,0.68,0.99,0.3,0.65,0.99,0.34,0.18,0.65,0,0,0,897.6,4,0,2.49,11.5,0.45,14.56,275,Frame_00275.png
0.49,0.22,0.76,0.11,0.9,0.92,0.23,0.74,0.17,0,0,0,0,904,4,0,2.29,11.86,1.2,12.87,276,Frame_00276.png
0.95,0.85,0.99,0.89,0.81,0.74,0.9,0.1,0.44,0,0,0,0,905.3,4,0,3,12,0.25,17.35,277,Frame_00277.png
0.29,0.67,0.06,0.25,0.54,0.77,0.37,0.08,0.96,0,0,0,0,910,4,0,3,11.61,0.15,13.25,278,Frame_00278.png
0.21,0.06,0.82,0.26,0.24,0.24,0.01,0.21,0.53,0.65,0.83,0,0,912.2,4,0,2.33,11.86,0.35,20.03,279,Frame_00279.png
0.98,0.95,0.54,0.44,0.88,0.23,0.77,0.44,0,0,0,0,0,925.9,4,0,2.47,11.76,0.7,12.96,280,Frame_00280.png
0.18,0.98,0.88,0.31,0.87,0.4,0.92,0.76,0,0,0,0,0,953.5,4,0,2.55,12,1.51,20.73,281,Frame_00281.png
0.38,0.26,0.17,0.98,0.25,0.29,0.81,0.47,0.69,0,0,0,0,956.7,4,0,2.2,11.97,0.7,15.22,282,Frame_00282.png
0.52,0.83,0.82,0.62,0.74,0.12,0.03,0.14,0.51,0.01,0,0,0,974.1,4,0,2.35,11.97,0.9,13.86,283,Frame_00283.png
0.57,0.63,0.73,0.05,0.23,0.71,0.73,0.29,0.62,0.28,0,0,0,1003.3,4,0,2.62,11.58,0.25,15.97,284,Frame_00284.png
0.94,0.9,0.43,0.94,0.1,0.93,0.46,0.03,0.13,0.55,0.28,0,0,1028.5,4,0,3.13,12,0.7,17.42,285,Frame_00285.png
0.54,0.58,0.11,0.02,0.12,0.92,0.62,0.68,0,0,0,0,0,1043.6,4,0,2.81,11.94,2.3,15.24,286,Frame_00286.png
0.96,0.31,0.8,0.07,0.1,0.65,0.96,0.62,0.63,0.32,0,0,0,1145.7,4,0,2.36,11.91,1.55,21.64,287,Frame_00287.png
0,0.28,0.43,0.42,0.18,0.63,0.29,0.64,0,0,0,0,0,1179.9,4,0,3,11.69,1.95,21.07,288,Frame_00288.png
0.56,0.65,0.1,0,0.88,0.83,0.71,0.97,0.7,0,0,0,0,1186,4,0,2.94,12,1.6,18.11,289,Frame_00289.png
0.12,0.68,0.9,0.86,0.43,0.43,0.72,0,0,0,0,0,0,596.5,5,0,2.15,11.97,0.9,9.65,290,Frame_00290.png
0.22,0.68,0.69,0.6,0.62,0.19,0,0,0,0,0,0,0,621.3,5,0,3,11.69,0.5,12.96,291,Frame_00291.png
0.99,0.26,0.38,0.18,0.29,0.4,0.07,0,0,0,0,0,0,643.1,5,0,2.16,11.26,1.37,13.49,292,Frame_00292.png
0.13,0.95,0.37,0.54,0.14,0.09,0,0,0,0,0,0,0,649.3,5,0,3,11.75,1.4,12.96,293,Frame_00293.png
0.23,0.63,0.77,0.92,0.29,0.42,0.24,0,0,0,0,0,0,654.1,5,0,2.55,11.89,0.6,11.4,294,Frame_00294.png
0.09,0.64,0.01,0.16,0.5,0.51,0.44,0.48,0,0,0,0,0,675.8,5,0,2.45,11.87,0.5,13.02,295,Frame_00295.png
0.12,0.61,0.73,0.81,0.92,0.33,0.35,0.88,0.22,0,0,0,0,676,5,0,2.1,11.56,0.65,11.4,296,Frame_00296.png
0.98,0.97,0.89,0.56,0.85,0.2,0.49,0,0,0,0,0,0,677.7,5,0,3,11.69,1.45,10.32,297,Frame_00297.png
0.63,0.96,0.23,0.44,0.64,0.41,0.98,0.28,0,0,0,0,0,694.3,5,0,2.31,11.54,1.8,9.65,298,Frame_00298.png
0.22,0.25,0.39,0.73,0.35,0.08,0.6,0.14,0,0,0,0,0,697.3,5,0,2.9,11.49,2.3,10.79,299,Frame_00299.png
0.14,0.65,0.02,0.27,0.64,0.49,0.55,0.37,0.87,0,0,0,0,726.4,5,0,2.95,11.95,0.15,11.7,300,Frame_00300.png
0.21,0.97,0.97,0.67,0.15,0.18,0.32,0.22,0.54,0,0,0,0,735.3,5,0,2.01,12,0.55,11.48,301,Frame_00301.png
0.19,0.71,0.69,0.52,0.13,0.76,0.12,0.18,0,0,0,0,0,735.4,5,0,3,11.69,0.7,12.96,302,Frame_00302.png
0.21,0.15,0.83,0.72,0.24,0.21,0.15,0.74,0.76,0,0,0,0,737.7,5,0,3,11.52,0.15,12.69,303,Frame_00303.png
0.59,0.7,0.76,0.22,0.43,0.46,0.65,0.93,0.55,0,0,0,0,746.3,5,0,2.31,11.52,0.25,12.99,304,Frame_00304.png
0.23,0.13,0.93,0.75,0.79,0.66,0.17,0,0,0,0,0,0,750.6,5,0,2.74,11.75,1.25,12.96,305,Frame_00305.png
0.11,0.99,0.94,0.34,0.09,0.19,0.38,0.75,0,0,0,0,0,755.5,5,0,2.48,12,0.95,16.81,306,Frame_00306.png
1,0.58,0.14,0.96,0.72,0.66,0.4,0.2,0.36,0,0,0,0,763.1,5,0,2.19,11.78,0.2,12.17,307,Frame_00307.png
0.97,0.26,0.05,0.7,0.18,0.2,0.99,0.35,0.88,0,0,0,0,780.5,5,0,3,11.74,0.1,12.96,308,Frame_00308.png
0.06,0.98,0.38,0.59,0.72,0.69,0.06,0.8,0.81,0,0,0,0,786,5,0,2.07,11.94,1.65,12.1,309,Frame_00309.png
0.56,0.66,0.91,0.98,0.03,0.2,0.17,0.85,0,0,0,0,0,788.4,5,0,2.61,11.31,0.2,12.9,310,Frame_00310.png
0.09,0.48,0.51,0.83,0.39,0.82,0.32,0.62,0.6,0.39,0.34,0,0,790.6,5,0,2.26,11.98,0.1,10.87,311,Frame_00311.png
0.36,0.64,0.04,0.2,0.03,0.77,0.81,0.42,0.65,0.41,0.47,0,0,796.5,5,0,2.26,12,0.05,12.69,312,Frame_00312.png
0.46,0.48,0.25,0.02,0.64,0.25,0.1,0.03,0.26,0.71,0,0,0,815.3,5,0,3,12,2.15,10.12,313,Frame_00313.png
0.49,0.69,0.42,0.58,0.9,0.68,0.93,0.92,0,0,0,0,0,827,5,0,3.41,11.97,0.55,13.09,314,Frame_00314.png
1,0.69,0.74,0.63,0.42,0.21,0.71,0.38,0.77,0,0,0,0,837.2,5,0,2.44,11.91,0.9,11.83,315,Frame_00315.png
0.45,0.38,0.03,0.1,0.96,0.3,0.36,0.38,0.04,0.31,0.42,0,0,840.3,5,0,2.09,10.65,0.45,15.38,316,Frame_00316.png
0.62,0.65,0.82,0.68,0.38,0.65,0.39,0.1,0.71,0,0,0,0,861.6,5,0,2.7,12,0.5,15.97,317,Frame_00317.png
0.2,0.04,0.27,0.69,0.46,0.87,0.79,0.81,0,0,0,0,0,867.6,5,0,3.17,11.27,0.35,13.44,318,Frame_00318.png
0.55,0.96,0.99,0.06,0.86,0.81,0.64,0.02,0,0,0,0,0,887.8,5,0,3.16,11.67,1.15,14.17,319,Frame_00319.png
0.31,0.64,0.15,0.5,0.08,0.1,0.11,0.7,0.8,0.24,0,0,0,890.9,5,0,2.67,11.65,1.5,14.62,320,Frame_00320.png
0.34,0.97,0.51,0.68,0.14,0.63,0.1,0.16,0.6,0.88,0,0,0,896.4,5,0,3,12,0.9,10.16,321,Frame_00321.png
0.76,0.99,0.87,0.86,0.37,0.39,0.38,0.17,0.19,0,0,0,0,926,5,0,3.66,11.79,0.8,14.14,322,Frame_00322.png
0.97,0.95,0.32,0.45,0.56,0.53,0.83,0.58,0,0,0,0,0,940,5,0,2.2,11.69,0.9,13.04,323,Frame_00323.png
0.32,0.34,0.26,0.03,0.87,0.11,0.26,0.1,0.52,0.41,0,0,0,940.3,5,0,2.46,12,0.85,17.32,324,Frame_00324.png
0.06,0.61,0.85,0.05,0.45,0.86,0.98,0.54,0.94,0.69,0,0,0,942.4,5,0,2.71,11.95,0.65,14.29,325,Frame_00325.png
0.95,0.3,0.21,0.98,0.01,0.44,0.73,0.12,0.17,0.04,0,0,0,942.8,5,0,2.09,11.79,0.6,14.37,326,Frame_00326.png
0.02,0.89,0.87,0.93,0.38,0.38,0.41,0.76,0.06,0.63,0.83,0,0,973.2,5,0,2.14,11.35,0.35,13.72,327,Frame_00327.png
0.96,0.95,0.9,0.38,0.48,0.84,0.81,0.49,0.86,0,0,0,0,976.7,5,0,3,11.69,0.65,14.75,328,Frame_00328.png
0.99,0,0.05,0.15,0.95,0.59,0.53,0.31,0.32,0.71,0,0,0,985.4,5,0,2.53,11.92,1.7,12.47,329,Frame_00329.png
0,0.78,0.25,0.46,0.75,0.91,0.23,0.65,0.87,0.17,0.7,0,0,987.9,5,0,3,11.25,0.05,12.91,330,Frame_00330.png
0.48,0.55,0.59,0.51,0.35,0.41,0.58,0.82,0.33,0.35,0,0,0,996.5,5,0,2.9,11.93,0.45,13.15,331,Frame_00331.png
0.1,0.63,0.62,0.95,0.1,0.34,0.72,0.18,0.84,0.68,0,0,0,1016,5,0,2.1,12,1.25,15.81,332,Frame_00332.png
0.3,0.02,0.98,0.35,0.79,0.51,0.06,0.91,0.59,0.3,0.61,0,0,1020.2,5,0,2.54,12,0.8,18.16,333,Frame_00333.png
0.5,0.66,0.81,0.61,0.38,0.57,0.87,0.69,0.58,0.38,0.06,1,0,1045.9,5,0,2.49,11.94,0.75,19.83,334,Frame_00334.png
0.04,0.96,0.87,0.75,0.28,0.76,0.41,0.84,0.53,0,0,0,0,1054.6,5,0,2.45,11.73,1,17.12,335,Frame_00335.png
0.15,0.71,0.55,0.47,0.95,0.8,0.54,0.31,0.42,0.93,0.48,0,0,1072,5,0,2.09,11.93,2.1,16.44,336,Frame_00336.png
0.55,0.86,0.66,0.85,0,0.9,0.1,0.57,0.41,0.44,0,0,0,1086,5,0,2.04,11.97,0.75,13.1,337,Frame_00337.png
0.59,0.56,0.03,0.09,0.08,0.39,0.87,0.07,0.87,0,0,0,0,1096.9,5,0,3,11.92,0.25,20.06,338,Frame_00338.png
0.31,0.29,0.15,0.06,0.46,0.65,0.7,0.07,0,0,0,0,0,1112.2,5,0,2.42,11.97,1.2,17.82,339,Frame_00339.png
0.04,0.82,0.75,0.79,0.87,0.93,0.96,0.76,0.41,0.44,0.69,0,0,1141.3,5,0,2.27,11.98,0.2,18.65,340,Frame_00340.png
0.23,0.66,0.78,0.06,0.08,0.64,0.83,0.02,0.08,0.57,0.79,0,0,1147.1,5,0,2.81,11.69,1.2,18.04,341,Frame_00341.png
0.26,0.43,0.1,0.02,0.01,0.56,0.94,0.28,0.84,0.33,0.39,0,0,1236.2,5,0,2.47,11.94,0.6,20.77,342,Frame_00342.png
0.22,0.94,0.74,0.98,0.54,0.81,0.37,0,0,0,0,0,0,628.4,6,0,3,11.95,0.5,12.96,343,Frame_00343.png
0.44,0.16,0.12,0.82,0.01,0.94,0.83,0.19,0.83,0,0,0,0,658.1,6,0,3,11.85,0.4,9.65,344,Frame_00344.png
0.97,0.28,0.55,0.6,0.79,0.08,0.66,0,0,0,0,0,0,698.2,6,0,3,11.86,1.46,12.96,345,Frame_00345.png
0.99,0.24,0.93,0.94,0.21,0.52,0.39,0.43,0,0,0,0,0,713.6,6,0,2.9,11.86,0.55,10.6,346,Frame_00346.png
0.39,0.94,0.04,0.28,0.1,0.82,0.82,0.41,0.97,0.23,0,0,0,730.6,6,0,2.02,12,1.15,10.9,347,Frame_00347.png
0.99,0.23,0.85,0.31,0.75,0.16,0.98,0.36,0.12,0,0,0,0,734.5,6,0,3,11.68,0.65,9.65,348,Frame_00348.png
0.18,0.61,0.61,0.83,0.78,0.81,0.76,0.23,0,0,0,0,0,737.5,6,0,2.1,11.69,1.25,12.96,349,Frame_00349.png
0.98,0.16,0.16,0.89,0.53,0.77,0.46,0.8,0,0,0,0,0,738.9,6,0,2.74,11.92,0.2,14.03,350,Frame_00350.png
0.97,0.19,0.51,0.55,0.18,0.34,0.4,0,0,0,0,0,0,755.1,6,0,2.72,11.93,0.5,16.82,351,Frame_00351.png
0.47,0.61,0.33,0.34,0.06,0.4,0.87,0.47,0.91,0.48,0,0,0,765.8,6,0,2.19,10.84,0.25,14.77,352,Frame_00352.png
0.99,1,0.57,0.77,0.75,0.29,0.14,0.13,0,0,0,0,0,799.6,6,0,3,11.69,1.59,12.96,353,Frame_00353.png
0.24,0.61,0.58,0.34,0.33,0.48,0.1,0.86,0.16,0,0,0,0,801.2,6,0,2.88,11.72,0.65,14.19,354,Frame_00354.png
0.39,0.96,0.59,0.88,0.56,0.03,0.67,0.29,0.07,0,0,0,0,804,6,0,2.61,11.8,0.1,10,355,Frame_00355.png
0.16,0.1,0.87,0.64,0.99,0.98,0.42,0.15,0.22,0.3,0,0,0,806.7,6,0,2.98,11.83,1.41,13.09,356,Frame_00356.png
0.23,0.61,0.91,0.56,0.88,0.53,0.69,0.36,0.63,0,0,0,0,808.9,6,0,3,11.84,0.45,12.96,357,Frame_00357.png
